,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
128,Owen,qm26,blue,,472,false,,1.0,0.0,,,,1Lcone|2Lcube|3Lcube|4Lcube|6Lcube,1.0,,,None,,,0.0,0.0,20.0,1.0,2.0,
129,sarah,qm26,blue,2,2068,true,2H,0.0,1.0,,None,,1H,0.0,,,Park,,,1.0,0.0,0.0,0.0,2.0,
130,Saragha,qm26,blue,2,2628,true,2H,0.0,1.0,,None,,1H,0.0,,,None,,,1.0,0.0,0.0,0.0,2.0,Stationary for entire last half of match
131,Suhani and Sophia T,qm26,blue,3,3939,false,8H,0.0,1.0,,None, | ,,0.0,Didnt move much | slow| problem with drivetrain?,,None,, | ,1.0,0.0,0.0,0.0,1.0, | 
132,alexander,qm26,red,3,422,true,1Lcone,1.0,0.0,,None,1H fell to 1L,2Lcube|2M|3Lcube|4Lcube|6Lcube,1.0,,,Park,,,0.0,0.0,0.0,0.0,1.0,Very very messy driving| nearly tipped themselves over by extending too early into the charge station
133,Aran and Amogh,qm26,red,,2199,true,4H,0.0,1.0,Engage,Engage, | ,6H|7H|9H,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.5,2.0, | 
134,Adrian Sun and Shashwat,qm26,red,2,2421,false,8H,0.0,0.0,,None, | ,5Lcube|7Lcube|8Lcube|9Lcone,0.0, | ,Engage,Dock,10.5, | ,0.0,0.0,0.0,0.0,1.0, | 
135,Suhani and Sophia T,qm27,blue,3,836,true,8H|9Lcone,0.5,1.0,,None, | ,1M|2H|3M|3H|4H|5H,0.0, | ,Engage,Dock,, | ,0.0,0.0,0.0,0.0,4.5,Smooth and fast driving | 
136,Saragha and sarah,qm27,blue,2,3136,true,6H,0.0,1.0,Engage,None, | ,1Lcube|2Lcube|3Lcube|4Lcube|5Lcube,0.0, | ,Engage,None,, | slid off,0.0,0.0,0.0,0.0,0.0, | 
137,Rachel and Blen Shiferaw,qm27,blue,,4099,true,1H,0.0,1.0,,, | ,7M|7H|8M|9M|9H,0.5, | cube got stuck in intake ,Engage,Dock,, | ,0.0,0.0,10.0,0.0,2.5, | 
138,alexander and Owen,qm27,red,3,346,true,2H,0.5,1.0,,None, | ,1Lcube|2Lcube|3Lcube|4Lcube|5Lcube|5H|6Lcube|9Lcube,0.5, | ,,Park,,Sacrificed dock & engage for potential link at 8L | ,0.0,0.0,40.0,2.0,3.5, | Really smart about where stuff lies around the field and really smart about other robots positioning 
139,Aran and Amogh,qm27,red,,623,false,,0.5,1.0,Engage,Engage, | ,3H|4M|9M|9H,1.0, | ,Engage,Dock,, | ,0.0,0.0,0.0,0.0,0.0, | 
140,Adrian Sun and Shashwat,qm27,red,2,1629,true,8H,0.0,1.0,,None, | ,3H|4H|6H|7H|9H,0.0, | ,Engage,Dock,6.550000000000001, | ,0.0,0.0,0.0,0.0,4.0, | 
141,sarah and Saragha,qm28,blue,2,620,true,,0.5,0.0,Engage,Engage, | ,3Lcone|7H|9H,1.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,3.0,super slow lineup | 
142,Suhani and Sophia T,qm28,blue,3,4472,true,1H|2H,0.0,1.0,,None, | ,1Lcube|2Lcube|3H|4H|6H,0.0,High node accuracy | ,Engage,Engage,17.15, | ,0.0,0.0,30.0,2.0,4.5,Fast and smooth driving | 
143,Rachel and Blen Shiferaw,qm28,blue,,8726,true,8H,0.0,1.0,,, | ,5H|7Lcube,0.0, | hit charge station and tipped over ,,None,, | ,1.0,0.5,10.0,1.0,0.5, | 
144,Adrian Sun and Shashwat,qm28,red,2,401,false,9H,0.0,0.0,,None, | ,1Lcube|1H|2Lcube|2H|3Lcone|3H|4H|6H|8H|9H,0.5, | ,,Park,, | ,0.0,0.0,0.0,0.0,2.5, | 
145,Aran and Amogh,qm28,red,,614,true,,0.0,1.0,Engage,Engage, | ,5Lcube|5H|6Lcube|7Lcube|8Lcube|9Lcube,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.0, | 
146,alexander and Owen,qm28,red,3,977,true,2M,0.0,1.0,,None, | ,,0.0, | Only played defense and stayed in the middle of the field,Engage,Engage,, | Did well with balancing and good at pushing other bots,0.0,0.5,100.0,3.0,2.0, | Strictly played defense the whole game and was ok at driving but was wobbling and tipping a lot and were also pushed and driven around
147,Suhani and Sophia T,qm29,blue,3,1727,false,9H,1.0,1.0,Engage,Engage, | ,1H|3Lcube|3H|5Lcube|5H|6H|7H,0.5, | ,,None,, | ,0.0,0.0,10.0,1.5,5.0,Fast and stable driving | 
148,sarah and Saragha,qm29,blue,2,1908,true,4H,0.0,0.0,,None, | ,2Lcube|4Lcone|6Lcone|7Lcone,0.5,gripper very unreliable | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.0, | Unstable gripper 
149,Rachel and Blen Shiferaw,qm29,blue,,6863,true,,1.0,1.0,,, | ,2H|7Lcube|8Lcube|8H,0.0, | ,Engage,Engage,6.1, | ,0.0,0.5,0.0,0.0,0.0, | 
150,Shashwat and Adrian Sun,qm29,red,2,2028,false,6H,0.0,0.0,Engage,None, | ,1H|4M|7H,0.0, | ,Engage,Engage,5.9, | ,0.0,0.0,0.0,0.0,2.5, | 
151,alexander and Owen,qm29,red,3,2537,true,2H,0.0,1.0,,None, | ,3H|4H|9H,1.5, | Played a little defense,Engage,Engage,,Triple engage | ,0.0,0.0,30.0,1.5,4.0, | 
152,Amogh and Aran,qm29,red,,3373,true,4Lcube|5M|8H,0.0,0.0,,None, | ,5H,0.0, | Got stuck by double sub for most of the match,Engage,Engage,, | ,1.0,0.5,0.0,0.0,3.0, | 
153,Rachel and Blen Shiferaw,qm3,blue,,1389,true,4H,0.0,0.0,,, | ,,0.0, | robot stopped moving for rest of match ,,None,, | ,1.0,0.0,0.0,0.0,1.0, | 
154,Suhani,qm3,blue,3,8622,true,,0.0,0.0,,None,,1Lcube|2Lcone,0.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,2.0,Slow driving
155,sarah and Saragha,qm3,blue,,9033,true,8H,0.0,0.0,,None, | Tried mobile failed,5H|6H|7H|9H,0.0, | ,Engage,None,, | ,0.0,1.0,0.0,0.0,2.0, | 
156,alexander,qm3,red,3,116,true,4H,0.0,0.0,,None,Attempted dock| couldnt climb ramp,1M|2H|3H|6H|9H,0.0,,,Dock,21 seconds,Attempted triple engage,0.0,0.0,0.0,0.0,4.0,Moderate driving speed with good alignments and little bumping
157,Amogh and,qm3,red,,6326,true,,0.0,0.0,,None, | ,1H|7Lcube|8Lcone|8H,0.0, | ,,Dock,, | ,0.0,1.0,0.0,0.0,2.0,They are really slow and also they only really targrt hybrid their cycles are slow too | 
158,Agneya and Agneya,qm3,red,2,6863,true,,1.0,1.0,,None, | ,5H|7H,0.0, | ,Engage,Dock,, | ,0.0,1.0,0.0,0.0,1.0, | 
159,sarah and Saragha,qm30,blue,2,1731,true,8H|9H,0.0,1.0,,None, | ,4M|4H|5Lcube|5M|5H|6M|7Lcube|7H|8M,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,5.0, | 
